Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes,disease_encoded,mealtype_encoded,diettype_encoded,cuisine_encoded,calories_scaled,protein_scaled,carbs_scaled,fats_scaled
Kidney Disease,Breakfast,Grilled Chicken Bowl with quinoa,Non-Vegetarian,Mediterranean,521,13.3,44.4,11.3,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,0,0,3,0.8312555728332598,-0.9680783855790173,-0.3130790343684765,-0.5707386501970751
GERD,Snack,Keema with peas with herbs,Non-Vegetarian,Indian,644,29.6,78.8,22.1,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,0,2,1.6991356864616372,0.7008633996263244,1.2089214266549584,0.9421982897830962
Anemia,Snack,Mixed Vegetable Sambar,Vegan,Indian,596,36.3,77.2,16.5,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,3,2,2,1.3604507640700754,1.3868701456923234,1.1381307075375895,0.15771246905263683
Celiac Disease,Lunch,Turkey Salad,Non-Vegetarian,Continental,174,19.2,64.2,23.0,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,2,0,1,-1.6171541786224066,-0.36398289277463,0.5629561147089659,1.0682763681147769
Celiac Disease,Lunch,Roast Chicken with Herbs,Non-Vegetarian,Continental,463,25.2,14.1,19.1,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,2,0,1,0.42201129161012246,0.2503515066874589,-1.6536782776536532,0.5219380286774931
Obesity,Snack,Grilled Vegetable Platter with quinoa,Vegetarian,Mediterranean,392,17.1,71.4,12.5,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.,11,3,3,3,-0.07896015609406289,-0.578999932586361,0.8815143507371268,-0.402634545754834
Gastritis,Snack,Vegetable Sushi Bowl with herbs,Vegetarian,Asian,186,40.0,39.3,19.3,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,3,3,0,-1.5324829480245161,1.7657096920272783,-0.5387244515550905,0.5499553794178664
Gastritis,Breakfast,Fish Curry (light),Non-Vegetarian,Indian,478,11.2,21.8,19.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,0,0,2,0.5278503298574856,-1.1830954253907486,-1.3129979419013145,0.6059900808986134
High Cholesterol,Lunch,Stuffed Peppers with herbs,Vegan,Continental,542,30.4,72.7,7.1,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,2,2,1,0.9794302263795681,0.782774652887936,0.939031810019989,-1.1591030157449196
Heart Disease,Breakfast,Ragi Porridge,Vegan,Indian,650,18.8,85.4,8.0,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,0,2,2,1.7414713017605825,-0.4049385194054358,1.5009331430141062,-1.0330249374132385
High Cholesterol,Lunch,Ragi Porridge,Vegan,Indian,221,33.1,56.1,4.0,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,2,2,2,-1.2855251921140023,1.0592251326458764,0.20457809917728492,-1.5933719522207095
Kidney Disease,Snack,Miso Soup with Greens,Vegetarian,Asian,166,34.9,76.1,5.6,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,3,3,0,-1.6736016656876669,1.2435254524845027,1.089462088144398,-1.3692331462977212
Thyroid,Snack,Grilled Salmon Salad,Pescatarian,Mediterranean,493,15.2,75.0,16.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,3,1,3,0.6336893681048487,-0.7735391590826893,1.040793468751207,0.15771246905263683
GERD,Snack,Stuffed Peppers,Vegan,Continental,585,37.8,33.8,14.3,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,2,1,1.2828354693553423,1.5404537455578455,-0.7820675485210467,-0.15047838909147201
Gastritis,Snack,Roasted Veggie Bowl,Vegan,Continental,326,12.2,28.5,22.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,3,2,1,-0.5446519243824606,-1.0807063588137338,-1.0165618055973316,1.05426769274459
Thyroid,Dinner,Miso Soup with Greens,Vegetarian,Asian,203,14.2,43.7,16.9,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,1,3,0,-1.412532038010838,-0.8759282256597041,-0.3440499739823253,0.2137471705333837
PCOS,Snack,Baked Cod with Herbs with quinoa,Pescatarian,Continental,367,29.5,35.9,17.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,3,1,1,-0.2553585531730014,0.6906244929686227,-0.6891547296794996,0.29779922275450454
GERD,Dinner,Stuffed Peppers,Vegan,Continental,298,16.4,30.0,21.0,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,1,2,1,-0.7422181291108717,-0.6506722791902716,-0.9501955064247981,0.7881028607110415
Thyroid,Breakfast,Grilled Chicken Bowl,Non-Vegetarian,Mediterranean,301,30.6,88.2,16.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,0,0,3,-0.721050321461399,0.8032524662033392,1.624816901469502,0.10167776757188994
Heart Disease,Breakfast,Lentil Stew light masala,Vegan,Mediterranean,167,30.1,21.9,4.1,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,0,2,3,-1.6665457298045094,0.7520579329148318,-1.3085735219564791,-1.5793632768505226
Diabetes,Dinner,Grilled Salmon Salad,Pescatarian,Mediterranean,453,15.7,49.3,11.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,1,1,3,0.351451932778547,-0.7223446257941819,-0.09628245707153381,-0.5427212994567017
Diabetes,Dinner,Avocado Toast with Seeds,Vegetarian,Continental,197,25.6,65.5,6.8,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,1,3,1,-1.4548676533097833,0.2913071333182651,0.6204735739918281,-1.2011290418554799
Gastritis,Dinner,Grilled Tandoori Chicken,Non-Vegetarian,Indian,373,26.6,73.7,8.6,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,1,0,2,-0.21302293787405616,0.39369619989527993,0.9832760094683447,-0.9489728851921181
Kidney Disease,Snack,Tuna Salad (olive oil dressing),Pescatarian,Continental,379,16.4,60.4,18.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,3,1,1,-0.1706873225751109,-0.6506722791902716,0.39482815680521416,0.3958599503458118
